pl_id,pl_name,st_mass,pl_orbper,st_teff,st_dist,pl_bmassj,pl_eqt,st_dist_km,years_by_car,years_by_plane,years_by_rocket,pl_mass_e
121,CT Cha b,,,,165.0,17.0,2327.0,5094886789871999.0,4001639011.8378882,800327802.3675776,19849399.860306986,5402.6
163,HAT-P-18 b,0.77,5.5080230000000014,4803.0,166.0,0.19699999999999998,579.0,5125764891628799.0,4025891369.4853907,805178273.897078,19969699.253399756,62.60659999999999
760,K2-121 b,0.72,5.185761,4551.0,170.37,,450.0,5260702196306017.0,4131874172.4049773,826374834.4809954,20495407.601215165,
211,K2-24 b,1.07,20.889770000000002,5625.0,171.39,0.059779999999999986,436.0,5292197860097951.0,4156611577.2054276,831322315.4410857,20618112.982169785,18.998083999999995
212,K2-24 c,1.07,42.3391,5625.0,171.39,0.04845,287.0,5292197860097951.0,4156611577.2054276,831322315.4410857,20618112.982169785,15.39741
494,MASCARA-4 b,1.75,2.82406,7800.0,171.54,3.1,1827.0,5296829575361472.0,4160249430.8525543,832049886.1705108,20636157.891133703,985.1800000000001
660,K2-159 b,0.9,12.42205,5425.0,171.9,,411.0,5307945691993919.0,4168980279.6056542,833796055.9211309,20679465.672647096,
584,WASP-177 b,0.88,3.0717220000000003,5017.0,178.0,0.508,869.0,5496302112710401.0,4316919661.25542,863383932.2510841,21413291.970512997,161.44240000000002
323,WASP-42 b,0.95,4.9816819,5315.0,178.19,0.527,748.0,5502168952044192.0,4321527609.208445,864305521.841689,21436148.855200622,167.4806
592,TOI-216.02,0.87,17.089000000000002,5026.0,178.84,0.09439,355.0,5522239718186111.0,4337291641.67932,867458328.3358642,21514343.460710917,29.997142
593,TOI-216.01,0.87,34.556,5026.0,178.84,0.62927,224.0,5522239718186111.0,4337291641.67932,867458328.3358642,21514343.460710917,199.982006
233,K2-29 b,0.94,3.2588321,5358.0,179.39,0.73,898.0,5539222674152352.0,4350630438.3854475,870126087.6770895,21580508.126911946,231.994
699,WASP-130 b,1.04,11.550980000000001,5625.0,180.0,1.23,560.0,5558058316224001.0,4365424376.550425,873084875.3100849,21653890.756698538,390.894
703,WASP-140 b,0.9,2.2359835,5260.0,180.0,2.44,1047.0,5558058316224001.0,4365424376.550425,873084875.3100849,21653890.756698538,775.432
329,BD+20 594 b,1.67,41.6855,5766.0,180.39,0.07,113.0,5570100775909153.0,4374882796.032951,874976559.2065902,21700807.52000472,22.246000000000002
624,K2-95 b,0.44,10.134016,3548.0,180.63,,110.0,5577511520330784.0,4380703361.868351,876140672.3736701,21729679.37434698,
310,K2-37 d,0.9,14.09189,5413.0,180.86,,390.0,5584613483734848.0,4386281404.127275,877256280.8254552,21757348.234758317,
309,K2-37 c,0.9,6.4290400000000005,5413.0,180.86,,588.0,5584613483734848.0,4386281404.127275,877256280.8254552,21757348.234758317,
308,K2-37 b,0.9,4.44117,5413.0,180.86,,701.0,5584613483734848.0,4386281404.127275,877256280.8254552,21757348.234758317,
288,Qatar-2 b,0.74,1.33711647,4645.0,182.32,2.494,1071.0,5629695512299775.0,4421689846.292629,884337969.2585258,21932985.348673757,792.5932000000001
438,EPIC 211945201 b,1.17,19.49221,6069.0,182.69,,544.0,5641120409949792.0,4430663218.622206,886132643.724441,21977496.124118086,
